EM_T (K),EM_((m0-m)/(m0-mf))
321.7014667,0.011078702
321.8621667,0.011278294
322.0358333,0.011482702
322.1872,0.01168818
322.3572,0.011895799
322.5185,0.012102883
322.6869667,0.012314247
322.8485667,0.01252133
323.0094333,0.012727344
323.1686667,0.012934962
323.3347,0.013140976
323.5007,0.013350735
323.6676,0.013563704
323.8342667,0.013776139
323.9965,0.01399553
324.1525333,0.014209035
324.3145667,0.014422539
324.4722,0.014635509
324.6346333,0.014847408
324.7914333,0.015061448
324.9614667,0.015276558
325.1200333,0.015493274
325.2902,0.01571534
325.4483,0.015936871
325.6099333,0.016158402
325.7677333,0.016379398
325.9244,0.016600395
326.0892667,0.016824066
326.2540333,0.017043992
326.4173667,0.017261778
326.5727667,0.017476353
326.7366,0.017691998
326.8976667,0.017908178
327.0477,0.018126499
327.2089667,0.018346425
327.3752333,0.018567956
327.5373667,0.018790022
327.6961667,0.019012088
327.8562667,0.019231479
328.0102,0.019454081
328.1684667,0.019673472
328.3254333,0.019891792
328.4898667,0.020110113
328.6513333,0.020328433
328.81,0.020548894
328.9767,0.020770961
329.1366,0.020995168
329.2982667,0.021219374
329.4564333,0.021443046
329.6214667,0.021667253
329.7790333,0.021891994
329.9336,0.022116201
330.0940333,0.022340408
330.2593,0.022563544
330.4204667,0.022786681
330.5855667,0.023009282
330.7401333,0.023232419
330.8968333,0.023456091
331.0561333,0.023680297
331.2152,0.023905039
331.3787667,0.024128711
331.5417,0.024351312
331.7021,0.024573378
331.8736333,0.024794375
332.0317,0.025014836
332.1854333,0.025235297
332.3423,0.025454687
332.5076333,0.025672473
332.6662,0.025891329
332.8324333,0.02611286
332.9928667,0.026334926
333.1511667,0.026557528
333.3087667,0.026777989
333.4785,0.026996845
333.6431667,0.027214095
333.8031667,0.027429205
333.9568667,0.027648061
334.1203667,0.027867987
334.2785667,0.028089518
334.4469333,0.028309444
334.606,0.02853044
334.7659,0.028750901
334.9316333,0.028970827
335.0860667,0.029189683
335.2516333,0.029407468
335.408,0.029623648
335.5739333,0.029840364
335.7366,0.030058149
335.8900667,0.03027647
336.0553,0.030495326
336.2177667,0.030713646
336.3768667,0.030933037
336.5422333,0.031150288
336.7059667,0.031366468
336.8685,0.031582113
337.0250333,0.031791337
337.1871,0.032002701
337.3532333,0.03221353
337.5166333,0.032422754
337.6799667,0.032630373
337.8386333,0.032839597
338.0011667,0.033049891
338.1626333,0.033259115
338.3191,0.033469409
338.4958333,0.033679703
338.6564333,0.033889997
338.8258667,0.034099756
338.9789333,0.034310051
339.1389667,0.034518739
339.3019667,0.034726358
339.464,0.034933442
339.6264667,0.035135174
339.7861333,0.035336907
339.9415667,0.035538639
340.1071333,0.035739302
340.2765667,0.035938359
340.4326333,0.036136346
340.6065,0.036335938
340.7593,0.036534995
340.9251333,0.036735657
341.0953667,0.036937925
341.2489333,0.037139657
341.4171667,0.037339784
341.5807667,0.037542052
341.7413667,0.037740574
341.9028333,0.037940166
342.0678667,0.038139223
342.2326,0.038332929
342.3917333,0.038528241
342.564,0.038724087
342.7188,0.038917793
342.8850667,0.039108824
343.0454,0.039298249
343.2072667,0.039486604
343.3641667,0.039673889
343.5368333,0.039862779
343.7033667,0.040046853
343.8578,0.040234673
344.0328,0.040422493
344.1941667,0.040606567
344.3471,0.040796528
344.5070333,0.040983813
344.6723,0.041169492
344.8322333,0.041354637
344.9991667,0.04153443
345.1589333,0.041714759
345.3327,0.041894552
345.4933,0.042073811
345.6635,0.042248253
345.8193667,0.042426976
345.9858333,0.04260784
346.1526667,0.042789774
346.3191,0.042973313
346.4875,0.043153642
346.6446,0.0433329
346.8095333,0.043510553
346.9689333,0.043686066
347.1393333,0.043861578
347.3068,0.044034951
347.4662667,0.044206718
347.6347667,0.044371528
347.7979667,0.044537944
347.9616,0.04470329
348.1231333,0.044869171
